id,name,count,level
80011,40 Engineering,194,2
80003,32 Biomedical and Clinical Sciences,157,2
80013,42 Health Sciences,141,2
80017,46 Information and Computing Sciences,124,2
80006,"35 Commerce, Management, Tourism and Services",109,2
80138,4203 Health Services and Systems,102,4
80005,34 Chemical Sciences,54,2
80045,3202 Clinical Sciences,52,4
80079,"3507 Strategy, Management and Organisational Behaviour",50,4
80002,31 Biological Sciences,45,2
80015,44 Human Society,35,2
80114,4006 Communications Engineering,35,4
80140,4205 Nursing,35,4
80141,4206 Public Health,34,4
80075,3503 Business Systems In Context,33,4
80113,4005 Civil Engineering,31,4
80184,4605 Data Management and Data Science,30,4
80022,51 Physical Sciences,28,2
80112,4004 Chemical Engineering,28,4
80054,3211 Oncology and Carcinogenesis,27,4
80117,"4009 Electronics, Sensors and Digital Hardware",27,4
80055,3212 Ophthalmology and Optometry,26,4
80116,4008 Electrical Engineering,26,4
80078,3506 Marketing,24,4
80023,52 Psychology,21,2
80066,3402 Inorganic Chemistry,20,4
80008,37 Earth Sciences,18,2
80070,3406 Physical Chemistry,17,4
80074,"3502 Banking, Finance and Investment",16,4
80188,4609 Information Systems,16,4
80014,"43 History, Heritage and Archaeology",15,2
80038,3105 Genetics,15,4
80124,4016 Materials Engineering,15,4
80040,3107 Microbiology,14,4
80190,4611 Machine Learning,14,4
80004,33 Built Environment and Design,13,2
80049,3206 Medical Biotechnology,13,4
80009,38 Economics,12,2
80019,48 Law and Legal Studies,12,2
80020,49 Mathematical Sciences,12,2
80068,3404 Medicinal and Biomolecular Chemistry,12,4
80119,4011 Environmental Engineering,12,4
80120,4012 Fluid Mechanics and Thermal Engineering,12,4
80183,4604 Cybersecurity and Privacy,12,4
80185,4606 Distributed Computing and Systems Software,12,4
80034,3101 Biochemistry and Cell Biology,11,4
80057,3214 Pharmacology and Pharmaceutical Sciences,11,4
80067,3403 Macromolecular and Materials Chemistry,11,4
80081,"3509 Transportation, Logistics and Supply Chains",11,4
80115,"4007 Control Engineering, Mechatronics and Robotics",11,4
80223,5104 Condensed Matter Physics,11,4
80073,"3501 Accounting, Auditing and Accountability",10,4
80100,3801 Applied Economics,10,4
80181,4602 Artificial Intelligence,10,4
80232,5202 Biological Psychology,10,4
80010,39 Education,9,2
80012,41 Environmental Sciences,9,2
80098,3709 Physical Geography and Environmental Geoscience,9,4
80111,4003 Biomedical Engineering,9,4
80122,4014 Manufacturing Engineering,9,4
80145,4301 Archaeology,9,4
80118,4010 Engineering Practice and Education,8,4
80136,4201 Allied Health and Rehabilitation Science,8,4
80189,4610 Library and Information Studies,8,4
80021,50 Philosophy and Religious Studies,7,2
80050,3207 Medical Microbiology,7,4
80058,3215 Reproductive Medicine,7,4
80061,3302 Building,7,4
80076,3504 Commercial Services,7,4
80094,3705 Geology,7,4
80125,4017 Mechanical Engineering,7,4
80147,4303 Historical Studies,7,4
80155,4407 Policy and Administration,7,4
80001,"30 Agricultural, Veterinary and Food Sciences",6,2
80104,3901 Curriculum and Pedagogy,6,4
80123,4015 Maritime Engineering,6,4
80126,4018 Nanotechnology,6,4
80139,4204 Midwifery,6,4
80192,4613 Theory Of Computation,6,4
80077,3505 Human Resources and Industrial Relations,5,4
80106,3903 Education Systems,5,4
80127,4019 Resources Engineering and Extractive Metallurgy,5,4
80137,4202 Epidemiology,5,4
80157,4409 Social Work,5,4
80187,4608 Human-Centred Computing,5,4
80206,4807 Public Law,5,4
80214,5001 Applied Ethics,5,4
80220,5101 Astronomical Sciences,5,4
80235,5205 Social and Personality Psychology,5,4
80036,3103 Ecology,4,4
80053,3210 Nutrition and Dietetics,4,4
80069,3405 Organic Chemistry,4,4
80080,3508 Tourism,4,4
80095,3706 Geophysics,4,4
80149,4401 Anthropology,4,4
80156,4408 Political Science,4,4
80158,4410 Sociology,4,4
80182,4603 Computer Vision and Multimedia Computation,4,4
80208,4901 Applied Mathematics,4,4
80018,"47 Language, Communication and Culture",3,2
80037,3104 Evolutionary Biology,3,4
80044,3201 Cardiovascular Medicine and Haematology,3,4
80052,3209 Neurosciences,3,4
80091,3702 Climate Change Science,3,4
80110,4002 Automotive Engineering,3,4
80133,4105 Pollution and Contamination,3,4
80152,4404 Development Studies,3,4
80212,4905 Statistics,3,4
80234,5204 Cognitive and Computational Psychology,3,4
80029,3006 Food Sciences,2,4
80030,3007 Forestry Sciences,2,4
80048,3205 Medical Biochemistry and Metabolomics,2,4
80051,3208 Medical Physiology,2,4
80062,3303 Design,2,4
80065,3401 Analytical Chemistry,2,4
80090,3701 Atmospheric Sciences,2,4
80096,3707 Hydrology,2,4
80105,"3902 Education Policy, Sociology and Philosophy",2,4
80132,4104 Environmental Management,2,4
80146,"4302 Heritage, Archive and Museum Studies",2,4
80150,4402 Criminology,2,4
80151,4403 Demography,2,4
80180,4601 Applied Computing,2,4
80191,4612 Software Engineering,2,4
80203,4804 Law In Context,2,4
80204,4805 Legal Systems,2,4
80222,5103 Classical Physics,2,4
80227,5108 Quantum Physics,2,4
80233,5203 Clinical and Health Psychology,2,4
80007,36 Creative Arts and Writing,1,2
80027,3004 Crop and Pasture Production,1,4
80032,3009 Veterinary Sciences,1,4
80035,3102 Bioinformatics and Computational Biology,1,4
80047,3204 Immunology,1,4
80071,3407 Theoretical and Computational Chemistry,1,4
80087,3605 Screen and Digital Media,1,4
80107,3904 Specialist Studies In Education,1,4
80109,4001 Aerospace Engineering,1,4
80142,4207 Sports Science and Exercise,1,4
80143,"4208 Traditional, Complementary and Integrative Medicine",1,4
80153,4405 Gender Studies,1,4
80154,4406 Human Geography,1,4
80186,"4607 Graphics, Augmented Reality and Games",1,4
80195,4702 Cultural Studies,1,4
80197,4704 Linguistics,1,4
80200,4801 Commercial Law,1,4
80209,4902 Mathematical Physics,1,4
80216,5003 Philosophy,1,4
80217,5004 Religious Studies,1,4
80224,5105 Medical and Biological Physics,1,4
80225,5106 Nuclear and Plasma Physics,1,4
80226,5107 Particle and High Energy Physics,1,4
80228,5109 Space Sciences,1,4
80231,5201 Applied and Developmental Psychology,1,4
